,Sentence
7356,airport snow removal method keep up the good work folks this is where cessna i become  i _exclamation_  
7357,only the jak baggage office is open to help re book all of us on cancelled lighted flight  to dna shameful 
7358,can you help me get from ah to so earlier tonight _questionmark_  
7359,perhaps you need to start recruiting 
7360,kudos to your rep patricia at gate be this sunday morning at i 
7361,why announce it is for rollers at all _questionmark_ if i want to put a coat in there isn i that my choice _questionmark_ how about all gate checked _questionmark_ the 
7362,where are my bags _exclamation_ _exclamation_ _exclamation_ they weren i in lax like your promised  out of  things today were a mess today because of you 
7363,thanks yup i am all set it happens sly ground staff were prompt helpful and courteous 
7364,the plane is moving and it is no ice we are moving to the end of the runway to sit because lga has one runway open 
7365,how did you save the  on checked snowboard _questionmark_ trying to check in this morning website wants  _exclamation_ prem gold 
7366,we share that value in common : 
7367,i like marie hard go to iraq find isis and spread good and offer resume service to isis in order to find jobs 
7368,seats gun away  strangers in  chicago rented van drove to toledo no help no offer no hotel 
7369,right on cue with the delays:ok_hand: 
7370,churn rate increasing by the second 
7371,i was just severely upset by the rude is rep i get she is prob stressed but i am too _exclamation_ an aw let me help old my it bar 
7372,is it your practice to give est class seats to us air employees before giving them to chairman customers sitting in coach _questionmark_  
7373,thank you yes i was hoping to speak with someone directly but appreciate the link nonetheless : 
7374,why the hell u left alliance and joined world is beyond me not a smart move time to start looking at other carriers 
7375,note the time this was taken now at  am and flight still listed as on time for  when i am not onboard 
7376,is not being responding to the athletes 
7377,last trip on poor customer service  trips in a row _exclamation_ here i come _exclamation_  
7378,thanks that means i have  minutes to make my international connection to hug 
7379,i promise if i can help it i will nor fly i u again even if i have  pay more  fly i sum else 
7380,awesome thanks _exclamation_ on hold now 
7381,or i am sure her business will go else where for airline travel her name is kathryn hotel 
7382,we were on be  this morning from boston to beautiful san diego we really were bummed the satellite was broken : 
7383,has the winner for been announced yet _questionmark_ if not when will they be _questionmark_  
7384,no need i know the status you cancelled lighted instead of delaying the flight 
7385,thanks connection thru nashville have a boarding pass get to dallas gate boarding  min before felt get end of i group 
7386,my mom always said to never settle if your chips ain i blue you just won i do 
7387,now has stranded is in without updating any of the departure boards and once they cancelled lighted the flight there was no 
7388,should not sell tickets for on has terrible service and ua staff cannot reach silver 
7389,again horrible service again attitude when asked for information again you make me not want to fly united ever 
7390,fly  to dew is leaving newark on time but is going to nashville first will i get stuck in nashville _questionmark_  
7391,boo for a not refunding a seat upgrade fee i did not want to buy in the first place _exclamation_  
7392,if united loses your baggage they will get it to the airport in the country your in and then it disappears _exclamation_  
7393,she was traveling with me the one that got miscommunicated with 
7394,thank you for allowing me to spend more money on vacation by buying things i already bought 
7395,i notice that there are separate buttons for guitar and actual music in this pic some bands should take note of this 
7396,which one have been booked on  different ones in the past  days 
7397,issues are not with people who i nice or storm emails with wrong phone numbers auto rebooked flights to non connecting cities 
